T_condensador;T_evaporação;capacidade;eficiencia;potencia;fluxo_massa;;;
308;238;106;1.62;65;2.04;;;
308;243;144;1.9;76;2.78;;;
308;248;191;2.21;86;3.7;;;
308;253;247;2.55;97;4.81;;;
308;258;314;2.92;108;6.13;;;
308;263;393;3.34;118;7.69;;;
318;238;96;1.44;67;1.86;;;
318;243;136;1.7;80;2.63;;;
318;248;184;1.96;94;3.56;;;
318;253;240;2.24;107;4.66;;;
318;258;305;2.53;121;5.95;;;
318;263;381;2.85;134;7.46;;;
328;243;121;1.51;80;2.34;;;
328;248;170;1.76;97;3.3;;;
328;253;228;2;114;4.42;;;
328;258;293;2.24;131;5.71;;;
328;263;368;2.49;148;7.19;;;
338;248;147;1.59;93;2.85;;;
338;253;206;1.81;114;4.01;;;
338;258;273;2.02;135;5.32;;;
338;263;348;2.23;156;6.8;;;
