T_condensador,T_evaporador,capacidade,eficiencia,potencia,fluxo_massa
308,238,64,1.13,57,1.24
308,243,89,1.35,66,1.72
308,248,120,1.59,76,2.32
308,253,158,1.86,85,3.07
308,258,204,2.17,94,3.98
308,263,258,2.53,102,5.04
308,268,319,2.97,107,6.27
318,238,59,1.0,59,1.14
318,243,83,1.19,70,1.61
318,248,114,1.4,82,2.21
318,253,151,1.62,93,2.94
318,258,195,1.87,104,3.81
318,263,247,2.15,115,4.83
318,268,306,2.48,124,6.01
328,243,74,1.06,70,1.44
328,248,105,1.25,84,2.03
328,253,141,1.44,98,2.74
328,258,184,1.65,112,3.59
328,263,234,1.87,125,4.58
328,268,291,2.13,137,5.72
338,248,90,1.12,81,1.75
338,253,127,1.31,97,2.46
338,258,169,1.49,114,3.29
338,263,217,1.68,130,4.25
338,268,273,1.88,145,5.36
