T_condensador;T_evaporador;capacidade;eficiencia;potencia;fluxo_massa;;;;;
308;238;138;1.32;105;2.67;;;;;
308;243;191;1.6;120;3.7;;;;;
308;248;255;1.87;136;4.94;;;;;
308;253;331;2.16;153;6.43;;;;;
308;258;420;2.49;169;8.19;;;;;
308;263;524;2.86;183;10.25;;;;;
308;268;644;3.32;194;12.65;;;;;
308;273;781;3.9;200;15.42;;;;;
318;238;119;1.08;111;2.31;;;;;
318;243;173;1.36;127;3.35;;;;;
318;248;237;1.62;146;4.6;;;;;
318;253;313;1.88;167;6.08;;;;;
318;258;402;2.14;188;7.83;;;;;
318;263;505;2.43;208;9.88;;;;;
318;268;624;2.75;227;12.25;;;;;
318;273;759;3.14;242;14.98;;;;;
328;243;149;1.13;132;2.89;;;;;
328;248;214;1.4;153;4.15;;;;;
328;253;290;1.65;176;5.64;;;;;
328;258;379;1.88;201;7.38;;;;;
328;263;482;2.12;227;9.42;;;;;
328;268;600;2.38;252;11.78;;;;;
328;273;734;2.67;275;14.49;;;;;
338;248;183;1.18;155;3.55;;;;;
338;253;260;1.44;180;5.05;;;;;
338;258;349;1.67;209;6.8;;;;;
338;263;452;1.89;239;8.84;;;;;
338;268;570;2.11;270;11.19;;;;;
338;273;703;2.34;300;13.88;;;;;
