T_condensador;T_evaporador;capacidade;eficiencia;potencia;fluxo_massa;;;
318;238;99;1.36;73;1.92;;;
318;243;146;1.58;92;2.83;;;
318;248;204;1.85;111;3.96;;;
318;253;274;2.14;128;5.32;;;
318;258;354;2.47;143;6.89;;;
318;263;444;2.82;157;8.69;;;
328;268;124;1.45;85;2.4;;;
328;243;179;1.67;107;3.46;;;
328;248;245;1.91;128;4.77;;;
328;253;324;2.16;150;6.31;;;
328;258;414;2.41;171;8.09;;;
338;263;153;1.48;103;2.96;;;
338;268;216;1.69;127;4.19;;;
338;248;291;1.9;153;5.66;;;
338;253;378;2.09;180;7.39;;;
