T_condensador;T_evaporador;capacidade;eficiencia;potencia;fluxo_massa;;;
318;238;111;1.15;97;2.15;;;
318;243;160;1.39;115;3.09;;;
318;248;219;1.62;135;4.24;;;
318;253;289;1.85;156;5.63;;;
318;258;372;2.09;178;7.26;;;
318;263;468;2.35;199;9.16;;;
318;268;578;2.63;220;11.35;;;
328;243;139;1.2;116;2.7;;;
328;248;197;1.42;139;3.82;;;
328;253;267;1.62;164;5.18;;;
328;258;349;1.83;190;6.8;;;
328;263;444;2.05;217;8.69;;;
328;268;554;2.28;243;10.88;;;
338;248;173;1.27;136;3.36;;;
338;253;241;1.46;165;4.68;;;
338;258;322;1.65;195;6.27;;;
338;263;416;1.84;226;8.14;;;
338;268;525;2.04;258;10.32;;;
