T_cond_C;T_evap_C;capacidade;eficiencia;consumo;corrente;fluxo_massa;T_cond_K;T_evap_K
35;0;17345;8.62;2012;10.44;92.4;308;273
35;5;21541;9.66;2231;11.04;115.51;308;278
35;10;26321;10.98;2396;11.52;142.22;308;283
35;15;31634;12.85;2462;11.85;172.46;308;288
45;0;15964;7.52;2122;10.99;90.92;318;273
45;5;19692;8.39;2347;11.72;112.95;318;278
45;10;23953;9.29;2577;12.32;138.51;318;283
45;15;28696;10.37;2766;12.81;167.54;318;288
55;0;14495;6.28;2307;11.57;88.94;328;273
55;5;17743;7.23;2455;12.42;109.7;328;278
55;10;21473;8.05;2667;13.16;133.92;328;283
55;15;25634;8.85;2897;13.8;161.54;328;288
