T_cond_C;T_evap_C;capacidade;eficiencia;consumo;corrente;fluxo_massa;T_cond_K;T_evap_K
35;-20;5708;5.66;1009;4.89;29.87;308;253
35;-15;7329;6.61;1108;5.3;38.49;308;258
35;-10;9326;7.69;1213;5.73;49.16;308;263
35;-5;11695;8.92;1311;6.15;61.95;308;268
35;0;14434;10.4;1387;6.59;76.9;308;273
35;5;17539;12.26;1430;7.02;94.06;308;278
35;10;21008;14.72;1427;7.46;113.51;308;283
45;-20;5310;4.94;1075;5.04;29.67;318;253
45;-15;6760;5.72;1181;5.53;37.92;318;258
45;-10;8547;6.54;1307;6.03;48.14;318;263
45;-5;10669;7.41;1439;6.52;60.4;318;268
45;0;13123;8.38;1565;7;74.75;318;273
45;5;15905;9.51;1672;7.48;91.24;318;278
45;10;19013;10.88;1747;7.95;109.92;318;283
55;-10;7658;5.7;1343;6.34;46.43;328;263
55;-5;9538;6.38;1495;6.89;58.14;328;268
55;0;11712;7.08;1655;7.43;71.87;328;273
55;5;14176;7.83;1809;7.95;87.66;328;278
55;10;16928;8.7;1946;8.46;105.57;328;283
